ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|FILENAME
||||||ᏙᏒᏓᎵ.; ᏙᏒᏓꮅ|do:sv̌:dáʔli.; do:sv̌:dáʔl|An ant. Ants.|||
||||||ᏙᏯ.; Ꮩy|do:ya.; do:y|A beaver. Beaver.|||
||||||ᏛᎦ.; Ꮫg|tvhga.; tvhg|A fly. Flies.|||
||||||ᏜᎺᎭ.|dla:me:ha.|A bat. Bats.|||
||||||ᏜᏄᏏ.|dla:nú:si.|A leech. Leeches.|||
||||||ᏢᏓᏥ.; ᏢᏓj|hlv:daji.; hlv:daj|A great cat. Great cats.|||
||||||ᏢᏕᏆ.|tlv̌:dé:gwa.|An eel. Eels.|||
||||||ᏥᏍᏚ.; ᏥᏍd|ji:sdu.; ji:sd|A rabbit. Rabbits.|||
||||||ᏥᏔᎦ.; ᏥᏔg|jitǎ:ga.; jitǎ:g|A chicken. Chickens.|||
||||||ᏥᏲ|jiyo|An otter. Otters.|||
||||||ᏧᎳ.; Ꮷꮅ|chu:la.; chu:l|A fox. Foxes.|||
||||||ᏧᎳᏍᎩ.; ᏧᎳᏍg|ju:là:sgi.; ju:là:sg|An alligator or iron pot. Alligators or iron pots.|||
||||||ᏧᎵᏍᏓᎾᎵ.; ᏧᎵᏍᏓᎾꮅ|ju:lì:sdana:li.; ju:lì:sdana:l|A catfish.|||
||||||ᏧᏂᎵᏍᏓᎾᎵ.; ᏧᏂᎵᏍᏓᎾꮅ|ju:ni:lì:sdana:li.; ju:ni:lì:sdana:l|Catfish.|||
||||||ᏧᏪᏥ.; ᏧᏪj|juwě:ji.; juwě:j|Eggs. Offspring.|||
||||||ᏩᎦ.; Ꮹg|wahga.; wahg|A cow. Cows.|||
||||||ᏩᎴᎳ.; ᏩᎴꮅ|wá:le:la.; wá:le:l|A hummingbird. Hummingbirds.|||
||||||ᏩᎶᏏ.; ᏩᎶᏍ|waló:si.; waló:s|A frog. Frogs.|||
||||||ᏩᏐᏝ.|wá:so:hla.|A moth. Moths.|||
||||||ᏩᏓᏚᎦ.; ᏩᏓᏚg|wǎ:dádǔ:ga.; wǎ:dádǔ:g|A dragonfly. Dragonflies.|||
||||||ᏩᏚᎵᏏ.; ᏩᏚᎵᏍ|wá:du:lí:si.; wá:du:lí:s|A honey bee. Honey bees.|||
||||||ᏩᎭᏯ.; ᏩᏯ.|wahaya.; wahya.|A wolf. Wolves.|||
||||||ᏪᏌ.; ᏪᏍ|wě:sa.; wě:s|A cat. Cats.|||
||||||ᏬᏱ.; ᏬᎢ|wo:yi.; wo:i|A pigeon. Pigeons.|||
||||||ᏯnᏌ.|yansa.|A buffalo. Buffalo.|||
||||||ᏲᎾ.; Ᏺn|yǒ:na.; yǒ:n|A bear. Bears.|||
